STT,Tên học phần,Số tín chỉ,Tên lớp tín chỉ,Thời gian,Thứ,Tiết,Phòng,Giáo viên
3,Thực tập chuyên môn,3,TH4307.1_20CN3,16/10/2023-05/11/2023,2,8-12,,Nguyễn Đăng Khoa
,,,,,4,8-12,,
,,,,,6,8-12,,
4,Kho dữ liệu và khai phá dữ liệu,3,TH4310_20CN3,13/11/2023-07/01/2024,4,8-12,H7. 701,Nguyễn Đăng Khoa
,,,,11/12/2023-07/01/2024,7,8-12,H8. 801,
5,Lập trình mạng,3,TH5213_20CN3,13/11/2023-07/01/2024,3,8-12,I7. 701,Nguyễn Hồng Thanh
,,,,11/12/2023-07/01/2024,6,8-12,,
6,Phát triển phần mềm hướng dịch vụ,3,TH4318_20CN3,13/11/2023-10/12/2023,5,8-12,I7. 703,Nguyễn Quốc Huy
,,,,13/11/2023-07/01/2024,2,8-12,,
